id,order_id,price
0,9,25
1,31,47
2,38,34
3,4,5
4,26,10
5,36,7
6,45,15
7,56,40
8,8,16
9,9,43
10,43,39
11,43,37
12,30,23
13,20,49
14,13,26
15,14,24
16,4,13
17,54,47
18,56,25
19,52,23
20,1,45
21,14,27
22,31,5
23,52,26
24,53,48
25,11,27
26,36,41
27,24,25
28,46,23
29,22,22
30,14,14
31,32,13
32,38,27
33,37,46
34,41,36
35,15,30
36,56,6
37,56,22
38,21,40
39,12,40
40,25,6
41,27,29
42,52,18
43,56,20
44,12,30
45,56,40
46,6,17
47,6,41
48,49,13
49,54,28
50,32,31
51,48,8
52,41,8
53,8,29
54,20,8
55,6,34
56,39,34
57,44,12
58,54,21
59,28,14
60,1,27
61,46,22
62,51,30
63,8,25
64,25,27
65,36,15
66,50,46
67,49,30
68,18,26
69,59,23
70,20,40
71,47,34
72,7,37
73,28,23
74,20,23
75,33,44
76,0,27
77,36,21
78,14,11
79,55,36
80,52,12
81,53,30
82,21,23
83,20,15
84,11,44
85,24,20
86,28,34
87,56,46
88,38,49
89,21,44
90,14,20
91,41,45
92,12,49
93,36,11
94,58,23
95,4,25
96,19,47
97,36,10
98,19,25
99,32,40
100,23,30
101,58,30
102,28,28
103,49,39
104,48,5
105,28,5
106,28,25
107,52,25
108,38,44
109,0,34
110,41,29
111,15,48
112,21,32
113,1,16
114,9,23
115,59,21
116,56,32
117,58,32
118,34,8
119,19,30
120,18,21
121,50,48
122,31,43
123,28,5
124,47,39
125,55,7
126,46,34
127,50,8
128,30,12
129,12,29
130,34,5
131,13,43
132,55,39
133,27,8
134,29,7
135,21,40
136,46,43
137,58,20
138,58,9
139,32,33
140,42,40
141,28,14
142,42,36
143,55,18
144,32,25
145,55,9
146,34,26
147,34,23
148,48,46
149,45,37
150,19,25
151,16,15
152,24,25
153,47,23
154,3,38
155,58,24
156,20,40
157,41,8
158,53,35
159,4,49
160,53,30
161,44,10
162,34,39
163,56,19
164,16,26
165,19,32
166,55,34
167,12,10
168,54,38
169,6,16
170,48,19
171,32,17
172,8,46
173,8,47
174,1,40
175,36,29
176,53,10
177,42,22
178,16,15
179,32,20
180,44,16
181,45,8
182,10,16
183,1,13
184,30,46
185,1,7
186,12,7
187,36,43
188,23,7
189,44,17
190,1,19
191,1,36
192,18,36
193,31,29
194,45,16
195,46,27
196,53,34
197,8,39
198,28,20
199,9,36
200,36,33
201,58,7
202,2,32
203,17,42
204,6,12
205,20,29
206,41,8
207,22,16
208,52,28
209,18,28
210,55,29
211,51,44
212,31,36
213,16,35
214,33,43
215,32,45
216,59,49
217,39,23
218,32,25
219,9,40
220,32,48
221,16,36
222,44,6
223,51,33
224,19,43
225,4,39
226,30,10
227,19,22
228,12,18
229,35,30
230,37,27
231,2,14
232,10,44
233,29,34
234,31,29
235,49,35
236,27,47
237,47,26
238,26,5
239,34,35
240,44,11
241,34,25
242,54,49
243,36,29
244,33,33
245,55,5
246,20,46
247,18,14
248,59,47
249,54,36
250,31,12
251,40,47
252,48,7
253,26,9
254,54,15
255,51,40
256,25,5
257,34,11
258,4,34
259,28,12
260,23,8
261,5,19
262,24,15
263,55,11
264,29,39
265,23,16
266,55,22
267,58,22
268,6,29
269,48,10
270,26,49
271,23,34
272,7,39
273,44,44
274,30,11
275,28,20
276,15,43
277,47,33
278,34,30
279,27,45
280,23,38
281,51,36
282,2,40
283,25,18
284,36,6
285,47,6
286,28,45
287,32,15
288,18,42
289,55,23
290,38,18
291,59,22
292,28,19
293,55,39
294,40,42
295,4,15
296,7,28
297,14,36
298,17,9
299,21,9
300,28,32
301,34,24
302,49,23
303,58,10
304,10,9
305,25,34
306,53,5
307,25,38
308,2,17
309,18,45
310,4,38
311,31,49
312,4,32
313,0,41
314,56,27
315,23,10
316,8,43
317,10,18
318,21,25
319,37,37
320,55,32
321,55,40
322,17,33
323,55,48
324,36,7
325,38,9
326,1,40
327,42,7
328,57,21
329,51,31
330,10,24
331,19,23
332,5,19
333,37,9
334,39,17
335,27,35
336,51,49
337,19,29
338,53,40
339,29,27
340,55,30
341,16,24
342,51,15
343,47,46
344,58,39
345,15,40
346,44,28
347,35,13
348,24,16
349,31,25
350,2,44
351,14,8
352,42,38
353,45,17
354,40,35
355,3,25
356,22,43
357,14,42
358,30,20
359,48,38
360,41,28
361,6,13
362,53,9
363,21,47
364,58,30
365,55,28
366,18,40
367,37,35
368,18,36
369,32,6
370,40,47
371,16,31
372,29,25
373,13,48
374,8,22
375,0,37
376,20,45
377,24,24
378,44,14
379,47,26
380,56,13
381,46,39
382,5,21
383,48,37
384,32,11
385,37,48
386,20,21
387,37,11
388,16,26
389,53,37
390,52,24
391,50,10
392,9,47
393,12,40
394,58,44
395,22,42
396,46,45
397,40,13
398,39,39
399,51,17
